lakeid,year4,sampledate,taxon,species_code,density,avg_length,comments
"ME",1980,1980-05-21,"DAPHNIA MENDOTAE",51103,16000.000,1.530,
"ME",1980,1980-05-21,"DAPHNIA MENDOTAE JUVENILE",51103,35000.000,0.730,
"ME",1980,1980-05-21,"BRACHIONUS",60400,18000.000,0.310,
"ME",1980,1980-05-21,"FILINIA",61400,27000.000,0.150,
"ME",1980,1980-05-21,"KERATELLA QUADRATA",61806,98000.000,0.160,
"ME",1980,1980-05-21,"POLYARTHRA",63000,98000.000,0.170,
"ME",1980,1980-06-03,"LEPTODIAPTOMUS SICILOIDES",30404,40000.000,1.300,
"ME",1980,1980-06-03,"CALANOIDA COPEPODITES",30000,26000.000,0.520,
"ME",1980,1980-06-03,"DIACYCLOPS THOMASI",20302,26000.000,1.100,
"ME",1980,1980-06-03,"MESOCYCLOPS EDAX",20601,4000.000,0.820,
"ME",1980,1980-06-03,"CYCLOPOIDA COPEPODITES",20000,3490000.000,0.670,
"ME",1980,1980-06-03,"COPEPOD NAUPLII",10000,913000.000,0.210,
"ME",1976,1976-02-25,"AGLAODIAPTOMUS CLAVIPES",30901,9000.000,2.340,
"ME",1976,1976-02-25,"LEPTODIAPTOMUS SICILOIDES",30404,31000.000,1.290,
"ME",1976,1976-02-25,"DIACYCLOPS THOMASI",20302,49000.000,1.140,
"ME",1976,1976-02-25,"TROPOCYCLOPS PRASINUS MEXICANUS",20901,9000.000,1.140,
"ME",1976,1976-02-25,"COPEPOD NAUPLII",10000,138000.000,0.270,
"ME",1976,1976-02-25,"DAPHNIA MENDOTAE JUVENILE",51103,10000.000,0.870,
"ME",1976,1976-02-25,"DAPHNIA PULICARIA",51130,24000.000,1.530,
"ME",1976,1976-02-25,"DAPHNIA PULICARIA JUVENILE",51130,6000.000,1.070,
"ME",1976,1976-02-25,"ANURAEOPSIS",60100,9000.000,0.070,
"ME",1976,1976-02-25,"BRACHIONUS",60400,9000.000,0.340,
"ME",1976,1976-02-25,"KERATELLA COCHLEARIS",61801,9000.000,0.160,
"ME",1976,1976-02-25,"POLYARTHRA",63000,85000.000,0.140,
"ME",1976,1976-02-25,"TRICHOCERCA SIMILIS",63617,9000.000,0.140,
"ME",1976,1976-04-02,"LEPTODIAPTOMUS SICILOIDES",30404,42000.000,1.240,
"ME",1976,1976-04-02,"CALANOIDA COPEPODITES",30000,4000.000,0.450,
"ME",1976,1976-04-02,"DIACYCLOPS THOMASI",20302,51000.000,1.390,
"ME",1976,1976-04-02,"TROPOCYCLOPS PRASINUS MEXICANUS",20901,4000.000,0.820,
"ME",1976,1976-04-02,"CYCLOPOIDA COPEPODITES",20000,13000.000,0.450,
"ME",1976,1976-04-02,"COPEPOD NAUPLII",10000,220000.000,0.230,
"ME",1976,1976-04-02,"DAPHNIA MENDOTAE",51103,4000.000,1.540,
"ME",1976,1976-04-02,"DAPHNIA MENDOTAE JUVENILE",51103,6000.000,0.830,
"ME",1976,1976-04-02,"DAPHNIA PULICARIA",51130,10000.000,1.750,
"ME",1976,1976-04-02,"DAPHNIA PULICARIA JUVENILE",51130,3000.000,1.050,
"ME",1976,1976-04-02,"DIAPHANOSOMA BIRGEI",51202,1000.000,0.980,
"ME",1976,1976-04-02,"DIAPHANOSOMA BIRGEI JUVENILE",51202,1000.000,0.620,
"ME",1976,1976-04-02,"BRACHIONUS",60400,4000.000,0.340,
"ME",1976,1976-04-02,"FILINIA",61400,8000.000,0.160,
"ME",1976,1976-04-02,"MONOSTYLA QUADRIDENTATA",62408,4000.000,0.220,
"ME",1976,1976-04-02,"NOTHOLCA ACUMINATA",62601,41000.000,0.160,
"ME",1976,1976-04-02,"TRICHOCERCA SIMILIS",63617,4000.000,0.090,
"ME",1976,1976-04-15,"LEPTODIAPTOMUS SICILOIDES",30404,41000.000,1.270,
"ME",1976,1976-04-15,"DIACYCLOPS THOMASI",20302,36000.000,1.200,
"ME",1976,1976-04-15,"TROPOCYCLOPS PRASINUS MEXICANUS",20901,25000.000,0.850,
"ME",1976,1976-04-15,"CYCLOPOIDA COPEPODITES",20000,122000.000,0.620,
"ME",1976,1976-04-15,"COPEPOD NAUPLII",10000,833000.000,0.260,
"ME",1976,1976-04-15,"DAPHNIA MENDOTAE JUVENILE",51103,6000.000,0.800,
"ME",1976,1976-04-15,"DAPHNIA PULICARIA",51130,2000.000,1.660,
"ME",1976,1976-04-15,"DAPHNIA PULICARIA JUVENILE",51130,5000.000,0.990,
"ME",1976,1976-04-15,"SYNCHAETA",63400,5000.000,0.240,
"ME",1976,1976-05-21,"LEPTODIAPTOMUS SICILOIDES",30404,4000.000,1.190,
"ME",1976,1976-05-21,"CALANOIDA COPEPODITES",30000,67000.000,0.540,
"ME",1976,1976-05-21,"DIACYCLOPS THOMASI",20302,157000.000,0.990,
"ME",1976,1976-05-21,"COPEPOD NAUPLII",10000,30000.000,0.320,
"ME",1976,1976-05-21,"BOSMINA LONGIROSTRIS",50701,75000.000,0.320,
"ME",1976,1976-05-21,"DAPHNIA MENDOTAE",51103,2000.000,1.280,
"ME",1976,1976-05-21,"DAPHNIA MENDOTAE JUVENILE",51103,42000.000,0.920,
"ME",1976,1976-05-21,"DAPHNIA PULICARIA",51130,24000.000,1.880,
"ME",1976,1976-05-21,"DAPHNIA PULICARIA JUVENILE",51130,116000.000,0.990,
"ME",1976,1976-05-21,"KERATELLA QUADRATA",61806,11000.000,0.150,
"ME",1976,1976-06-01,"AGLAODIAPTOMUS CLAVIPES",30901,4000.000,2.220,
"ME",1976,1976-06-01,"LEPTODIAPTOMUS SICILOIDES",30404,103000.000,1.100,
"ME",1976,1976-06-01,"CALANOIDA COPEPODITES",30000,54000.000,0.540,
"ME",1976,1976-06-01,"DIACYCLOPS THOMASI",20302,169000.000,0.990,
"ME",1976,1976-06-01,"TROPOCYCLOPS PRASINUS MEXICANUS",20901,8000.000,0.750,
"ME",1976,1976-06-01,"CYCLOPOIDA COPEPODITES",20000,21000.000,0.570,
"ME",1976,1976-06-01,"COPEPOD NAUPLII",10000,83000.000,0.320,
"ME",1976,1976-06-01,"BOSMINA LONGIROSTRIS",50701,4000.000,0.320,
"ME",1976,1976-06-01,"CHYDORUS SPHAERICUS",51005,21000.000,0.320,
"ME",1976,1976-06-01,"DAPHNIA MENDOTAE",51103,21000.000,1.400,
"ME",1976,1976-06-01,"DAPHNIA PULICARIA",51130,259000.000,1.600,
"ME",1976,1976-06-01,"DAPHNIA PULICARIA JUVENILE",51130,28000.000,1.200,
"ME",1976,1976-06-01,"DAPHNIA RETROCURVA",51107,12000.000,1.620,
"ME",1976,1976-06-01,"DAPHNIA JUVENILE",51100,8000.000,0.260,
"ME",1976,1976-06-01,"POLYARTHRA",63000,4000.000,0.240,
"ME",1976,1976-06-01,"POMPHYLOX SULCATA",63101,4000.000,0.100,
"ME",1976,1976-06-10,"AGLAODIAPTOMUS CLAVIPES",30901,83000.000,1.690,
"ME",1976,1976-06-10,"LEPTODIAPTOMUS SICILIS",30403,50000.000,1.250,
"ME",1976,1976-06-10,"LEPTODIAPTOMUS SICILOIDES",30404,139000.000,1.280,
"ME",1976,1976-06-10,"CALANOIDA COPEPODITES",30000,428000.000,0.720,
"ME",1976,1976-06-10,"ACANTHOCYCLOPS VERNALIS",20101,17000.000,1.410,
"ME",1976,1976-06-10,"DIACYCLOPS THOMASI",20302,150000.000,0.960,
"ME",1976,1976-06-10,"MESOCYCLOPS EDAX",20601,28000.000,0.980,
"ME",1976,1976-06-10,"TROPOCYCLOPS PRASINUS MEXICANUS",20901,28000.000,0.690,
"ME",1976,1976-06-10,"CYCLOPOIDA COPEPODITES",20000,11000.000,0.740,
"ME",1976,1976-06-10,"COPEPOD NAUPLII",10000,111000.000,0.270,
"ME",1976,1976-06-10,"BOSMINA LONGIROSTRIS",50701,100000.000,0.380,
"ME",1976,1976-06-10,"CHYDORUS SPHAERICUS",51005,50000.000,0.320,
"ME",1976,1976-06-10,"DAPHNIA MENDOTAE",51103,11000.000,1.720,
"ME",1976,1976-06-10,"DAPHNIA PULICARIA",51130,445000.000,1.860,
"ME",1976,1976-06-10,"DAPHNIA PULICARIA JUVENILE",51130,5000.000,1.030,
