"day","year","lake","taxon","density","density_adj","min_density","density_scaled"
10,1980,"Mendota","C. sphaericus",28000,2.9,1000,-0.274007383718041
10,1980,"Mendota","Calanoid copepods",5000,0.6,2000,-1.28909027776214
10,1980,"Mendota","Cyclopoid copepods",0,0.1,3000,-2.41458699077219
10,1980,"Mendota","D. mendotae",6000,0.7,1000,0.248083750444997
10,1980,"Mendota","D. thomasi",1867000,186.8,2000,1.30285978250159
10,1980,"Mendota","K. cochlearis",116000,11.7,2000,-0.0919722820953164
10,1980,"Mendota","L. siciloides",9000,1,2000,-1.25535350012589
10,1980,"Mendota","M. edax",0,0.1,2000,-0.918351092818527
12,1984,"Kegonsa","C. sphaericus",0,0.1,1000,-1.11403417079205
12,1984,"Kegonsa","Calanoid copepods",0,0.1,2000,-1.29186405179215
12,1984,"Kegonsa","Cyclopoid copepods",0,0.1,3000,-2.23945364017381
12,1984,"Kegonsa","D. mendotae",0,0.1,1000,-1.05922536568289
12,1984,"Kegonsa","D. thomasi",0,0.1,2000,-0.646447822590116
12,1984,"Kegonsa","K. cochlearis",2000,0.3,2000,-1.61724276921474
12,1984,"Kegonsa","L. siciloides",10000,1.1,2000,-2.07105306112868
12,1984,"Waubesa","C. sphaericus",51000,5.2,1000,-1.25335214884174
12,1984,"Waubesa","Calanoid copepods",4000,0.5,2000,-1.57097208759086
12,1984,"Waubesa","Cyclopoid copepods",11000,1.2,3000,-0.940056666495128
12,1984,"Waubesa","Cyclopoid copepods",3e+05,30.1,3000,1.13921714262891
12,1984,"Waubesa","D. mendotae",4000,0.5,1000,0.206872725901242
12,1984,"Waubesa","D. thomasi",11000,1.2,2000,0.599113994733336
12,1984,"Waubesa","D. thomasi",35000,3.6,2000,1.41301789004739
12,1984,"Waubesa","K. cochlearis",39000,4,2000,-0.684125969160205
12,1984,"Waubesa","K. cochlearis",694000,69.5,2000,0.693204363872932
12,1984,"Waubesa","L. siciloides",25000,2.6,2000,-0.729742522354944
12,1984,"Waubesa","L. siciloides",12000,1.3,2000,-1.50459239373636
12,1984,"Waubesa","M. edax",0,0.1,2000,-1.3706847190751
16,1984,"Mendota","C. sphaericus",0,0.1,1000,-1.33964670596302
16,1984,"Mendota","Calanoid copepods",0,0.1,2000,-1.2771386237396
16,1984,"Mendota","Cyclopoid copepods",711000,71.2,3000,0.943075771986239
16,1984,"Mendota","D. mendotae",10000,1.1,1000,0.219569815510381
16,1984,"Mendota","D. thomasi",22000,2.3,2000,0.213731189697941
16,1984,"Mendota","K. cochlearis",61000,6.2,2000,0.334937016548121
16,1984,"Mendota","L. siciloides",54000,5.5,2000,-0.205073513586091
16,1984,"Mendota","M. edax",0,0.1,2000,-1.03402090518327
16,1984,"Menona","C. sphaericus",28000,2.9,1000,-0.930690680450526
16,1984,"Menona","Calanoid copepods",0,0.1,2000,-1.704070009047
16,1984,"Menona","Cyclopoid copepods",60000,6.1,3000,-0.404873396936827
16,1984,"Menona","D. mendotae",6000,0.7,1000,0.0873285585931751
16,1984,"Menona","D. thomasi",21000,2.2,2000,0.345074036552418
16,1984,"Menona","K. cochlearis",11000,1.2,2000,-2.05804721258704
16,1984,"Menona","L. siciloides",49000,5,2000,-0.51450894899645
16,1984,"Menona","M. edax",0,0.1,2000,-1.27002391433419
16,1985,"Kegonsa","C. sphaericus",0,0.1,1000,-0.886202762180839
16,1985,"Kegonsa","Calanoid copepods",0,0.1,2000,-2.18710901218497
16,1985,"Kegonsa","Cyclopoid copepods",16000,1.7,3000,-0.604230669277333
16,1985,"Kegonsa","D. mendotae",36000,3.7,1000,1.45366364906999
16,1985,"Kegonsa","D. thomasi",13000,1.4,2000,1.0693155121633
16,1985,"Kegonsa","K. cochlearis",270000,27.1,2000,0.732505363670243
16,1985,"Kegonsa","L. siciloides",23000,2.4,2000,-0.582426795507721
16,1985,"Kegonsa","M. edax",0,0.1,2000,-0.526461116873307
16,1985,"Waubesa","C. sphaericus",12000,1.3,1000,-1.34272891627967
16,1985,"Waubesa","Calanoid copepods",12000,1.3,2000,-0.88352279418162
16,1985,"Waubesa","Cyclopoid copepods",106000,10.7,3000,0.158662428845513
